id,snapshot_date,total,source_url
8155,2017-06-30,670,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2017-06-30,848,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2020-06-30,694,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2020-06-30,96,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2013-10-31,808,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2013-10-31,1091,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2013-10-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2000-03-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2000&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2000-03-31,755,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2000&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2000-03-31,238,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2000&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2011-03-31,794,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
