id,snapshot_date,total,total_off_site,felony,misdemeanor,convicted_or_sentenced,detained_or_awaiting_trial,technical_parole_violators,source_url,source_url_2,federal_offense
9173,2020-02-01,67,0,2,0,1,53,9,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9174,2020-02-01,100,18,11,3,0,52,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9176,2020-02-01,22,15,1,0,0,2,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9177,2020-02-01,51,0,0,0,1,29,8,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9178,2020-02-01,600,149,26,8,25,344,41,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,149
9180,2020-02-01,12,4,1,0,0,22,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,1
9181,2020-02-01,438,103,24,10,10,250,30,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,103
9182,2020-02-01,91,0,5,0,3,106,6,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9183,2020-02-01,224,73,11,0,2,105,26,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9184,2020-02-01,18,2,0,0,0,16,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9186,2020-02-01,122,11,7,1,9,79,8,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9189,2020-02-01,34,0,1,1,0,30,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9190,2020-02-01,24,0,0,0,0,38,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9191,2020-02-01,22,0,0,0,1,18,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9192,2020-02-01,43,1,0,0,2,36,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9193,2020-02-01,53,0,3,0,0,44,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9195,2020-02-01,1,0,0,0,0,2,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9196,2020-02-01,67,6,6,0,2,32,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9197,2020-02-01,44,0,6,0,4,29,9,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9198,2020-02-01,1271,55,46,7,23,906,182,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,49
9199,2020-02-01,26,16,0,0,0,10,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9200,2020-02-01,40,7,3,1,1,26,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9202,2020-02-01,32,0,0,0,2,25,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9204,2020-02-01,18,2,3,0,0,11,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9205,2020-02-01,2,0,1,0,0,3,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9206,2020-02-01,89,0,0,0,0,59,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9207,2020-02-01,220,145,4,0,0,71,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,144
9209,2020-02-01,4,0,0,2,0,1,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9213,2020-02-01,13,2,1,1,1,7,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9214,2020-02-01,67,39,2,2,2,19,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9215,2020-02-01,53,0,7,0,2,37,7,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9216,2020-02-01,868,1,43,26,77,623,44,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,1
9217,2020-02-01,42,1,0,1,1,50,7,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9218,2020-02-01,21,0,0,0,0,15,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
